index,project,relativePath,absolutePath,methodName,spanMethod,wholeMethod,body,javaDoc,coverage,tokensPerMethod,javaDocFirstSentence,tokensFirstLine,perturbatedJavaDocSentence
10,shenyu,org/apache/shenyu/common/utils/DateUtils.java,/shenyu-common/src/main/java/org/apache/shenyu/common/utils/DateUtils.java,formatLocalDateTimeFromTimestamp,81-89,"/**
     * Format local date time from timestamp local date time.
     *
     * @param timestamp the timestamp
     * @return the local date time
     */
public static LocalDateTime formatLocalDateTimeFromTimestamp(final Long timestamp){
    return LocalDateTime.ofEpochSecond(timestamp / 1000, 0, ZoneOffset.ofHours(8));
}","public static LocalDateTime formatLocalDateTimeFromTimestamp(final Long timestamp){
    return LocalDateTime.ofEpochSecond(timestamp / 1000, 0, ZoneOffset.ofHours(8));
}","/**
     * Format local date time from timestamp local date time.
     *
     * @param timestamp the timestamp
     * @return the local date time
     */","('formatLocalDateTimeFromTimestamp', {'INSTRUCTION': {'covered': 9, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Format local date time from timestamp local date time.,10.0,"['The local date time should be formatted from the local timestamp time.', 'The local date time should be formatted with a timestamp.', 'The local date time should be formatted from the local time.']"
12,sonar-cxx,org/sonar/cxx/config/CxxSquidConfiguration.java,/cxx-squid/src/main/java/org/sonar/cxx/config/CxxSquidConfiguration.java,toString,404-413,"/**
   * Returns a string representation of the object: XML/UTF-8 encoded.
   *
   * @return object XML encoded
   */
public String toString(){
    var stream = new ByteArrayOutputStream();
    save(stream);
    return stream.toString(StandardCharsets.UTF_8);
}","public String toString(){
    var stream = new ByteArrayOutputStream();
    save(stream);
    return stream.toString(StandardCharsets.UTF_8);
}","/**
   * Returns a string representation of the object: XML/UTF-8 encoded.
   *
   * @return object XML encoded
   */","('toString', {'INSTRUCTION': {'covered': 11, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,Returns a string representation of the object: XML/UTF-8 encoded.,11.0,"['A string representation of the object is returned.', 'A string representation of the object.', 'The object is represented by a string.']"
13,sonar-cxx,org/sonar/cxx/CxxAstScanner.java,/cxx-squid/src/main/java/org/sonar/cxx/CxxAstScanner.java,scanSingleInputFile,66-76,"/**
   * Helper method for testing checks without having to deploy them on a Sonar instance.
   *
   * @param inputFile is the file to be checked
   * @param visitors AST checks and visitors to use
   * @return file checked with measures and issues
   */
public static SourceFile scanSingleInputFile(InputFile inputFile, SquidAstVisitor<Grammar>... visitors){
    return scanSingleInputFileConfig(inputFile, new CxxSquidConfiguration(), visitors);
}","public static SourceFile scanSingleInputFile(InputFile inputFile, SquidAstVisitor<Grammar>... visitors){
    return scanSingleInputFileConfig(inputFile, new CxxSquidConfiguration(), visitors);
}","/**
   * Helper method for testing checks without having to deploy them on a Sonar instance.
   *
   * @param inputFile is the file to be checked
   * @param visitors AST checks and visitors to use
   * @return file checked with measures and issues
   */","('scanSingleInputFile', {'INSTRUCTION': {'covered': 7, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Helper method for testing checks without having to deploy them on a Sonar instance.,15.0,"['A method for testing checks without having to use a Sonar instance.', 'A method for testing checks without having to deploy them.', 'The method is for testing checks without having to deploy them.']"
14,matsim-libs,org/matsim/contrib/freight/carrier/CarrierUtils.java,/contribs/freight/src/main/java/org/matsim/contrib/freight/carrier/CarrierUtils.java,addShipment,53-60,"/**
	 * Adds an {@link CarrierShipment} to the {@link Carrier}.
	 * @param carrier
	 * @param carrierShipment
	 */
public static void addShipment(Carrier carrier, CarrierShipment carrierShipment){
    carrier.getShipments().put(carrierShipment.getId(), carrierShipment);
}","public static void addShipment(Carrier carrier, CarrierShipment carrierShipment){
    carrier.getShipments().put(carrierShipment.getId(), carrierShipment);
}","/**
	 * Adds an {@link CarrierShipment} to the {@link Carrier}.
	 * @param carrier
	 * @param carrierShipment
	 */","('addShipment', {'INSTRUCTION': {'covered': 8, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Adds an {@link CarrierShipment} to the {@link Carrier}.,15.0,"['The @link Carrier is now an @link CarrierShipment.', 'The @link Carrier is added to the @link Carrier.', 'Adds an @link CarrierShipment to it.']"
15,matsim-libs,org/matsim/contrib/freight/carrier/CarrierUtils.java,/contribs/freight/src/main/java/org/matsim/contrib/freight/carrier/CarrierUtils.java,addService,36-43,"/**
	 * Adds an {@link CarrierService} to the {@link Carrier}.
	 * @param carrier
	 * @param carrierService
	 */
public static void addService(Carrier carrier, CarrierService carrierService){
    carrier.getServices().put(carrierService.getId(), carrierService);
}","public static void addService(Carrier carrier, CarrierService carrierService){
    carrier.getServices().put(carrierService.getId(), carrierService);
}","/**
	 * Adds an {@link CarrierService} to the {@link Carrier}.
	 * @param carrier
	 * @param carrierService
	 */","('addService', {'INSTRUCTION': {'covered': 8, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Adds an {@link CarrierService} to the {@link Carrier}.,15.0,"['The @link Carrier Service is added to it.', 'The @link Carrier Service is added.', 'Adds an @link Carrier Service.']"
16,cdk,org/openscience/cdk/renderer/generators/standard/VecmathUtil.java,/display/renderbasic/src/main/java/org/openscience/cdk/renderer/generators/standard/VecmathUtil.java,adjacentLength,210-222,"/**
     * Given vectors for the hypotenuse and adjacent side of a right angled
     * triangle and the length of the opposite side, determine how long the
     * adjacent side size.
     *
     * @param hypotenuse vector for the hypotenuse
     * @param adjacent vector for the adjacent side
     * @param oppositeLength length of the opposite side of a triangle
     * @return length of the adjacent side
     */
 static double adjacentLength(Vector2d hypotenuse, Vector2d adjacent, double oppositeLength){
    return Math.tan(hypotenuse.angle(adjacent)) * oppositeLength;
}","static double adjacentLength(Vector2d hypotenuse, Vector2d adjacent, double oppositeLength){
    return Math.tan(hypotenuse.angle(adjacent)) * oppositeLength;
}","/**
     * Given vectors for the hypotenuse and adjacent side of a right angled
     * triangle and the length of the opposite side, determine how long the
     * adjacent side size.
     *
     * @param hypotenuse vector for the hypotenuse
     * @param adjacent vector for the adjacent side
     * @param oppositeLength length of the opposite side of a triangle
     * @return length of the adjacent side
     */","('adjacentLength', {'INSTRUCTION': {'covered': 7, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,"  Given vectors for the hypotenuse and adjacent side of a right angled  triangle and the length of the opposite side, determine how long the  adjacent side size.",29.0,"['Determine how long the adjacent side of the triangle is by using the vectors for the hypotenuse and adjacent side.', 'Determine how long the adjacent side of the right triangle is by using the vectors for the hypotenuse and adjacent side.', 'Determine how long the adjacent side of the triangle is by using the vectors for the hypotenuse and the length of the opposite side.']"
17,jooby,io/jooby/Environment.java,/jooby/src/main/java/io/jooby/Environment.java,systemProperties,256-264,"/**
   * Creates a {@link Config} object from {@link System#getProperties()}.
   *
   * @return Configuration object.
   */
public static Config systemProperties(){
    return ConfigFactory.parseProperties(System.getProperties(), ConfigParseOptions.defaults().setOriginDescription(""system properties""));
}","public static Config systemProperties(){
    return ConfigFactory.parseProperties(System.getProperties(), ConfigParseOptions.defaults().setOriginDescription(""system properties""));
}","/**
   * Creates a {@link Config} object from {@link System#getProperties()}.
   *
   * @return Configuration object.
   */","('systemProperties', {'INSTRUCTION': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,  Creates a {@link Config} object from {@link System#getProperties()}.,19.0,"['The @link Config object is created from the @link System#getProperties', 'The @link Config object was created from the @link System#getProperties', 'The @link Config object is created from the @link System#getProperties.']"
18,cdk,org/openscience/cdk/layout/StructureDiagramGenerator.java,/tool/sdg/src/main/java/org/openscience/cdk/layout/StructureDiagramGenerator.java,clearHydrogenCounts,1662-1672,"/**
     * Simple helper function that sets all hydrogen counts to 0.
     *
     * @param container a structure representation
     * @return the input container
     */
private static IAtomContainer clearHydrogenCounts(IAtomContainer container){
    for (IAtom atom : container.atoms()) atom.setImplicitHydrogenCount(0);
    return container;
}","private static IAtomContainer clearHydrogenCounts(IAtomContainer container){
    for (IAtom atom : container.atoms()) atom.setImplicitHydrogenCount(0);
    return container;
}","/**
     * Simple helper function that sets all hydrogen counts to 0.
     *
     * @param container a structure representation
     * @return the input container
     */","('clearHydrogenCounts', {'INSTRUCTION': {'covered': 18, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,Simple helper function that sets all hydrogen counts to 0.,11.0,"['The function sets the hydrogen counts to 0.', 'The function sets all hydrogen counts to 0.', 'A simple function sets the hydrogen counts to 0.']"
19,dcache,dmg/util/logback/FilterThresholdSet.java,/modules/cells/src/main/java/dmg/util/logback/FilterThresholdSet.java,hasAppender,104-110,"/**
     * Returns whether the appender is valid is valid for use in a threshold definition.
     */
public synchronized boolean hasAppender(String appender){
    return _appenders.contains(appender) || (_parent != null && _parent.hasAppender(appender));
}","public synchronized boolean hasAppender(String appender){
    return _appenders.contains(appender) || (_parent != null && _parent.hasAppender(appender));
}","/**
     * Returns whether the appender is valid is valid for use in a threshold definition.
     */","('hasAppender', {'INSTRUCTION': {'covered': 17, 'missed': 0}, 'BRANCH': {'covered': 5, 'missed': 1}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,  Returns whether the appender is valid is valid for use in a threshold definition.,15.0,"['If the appender is valid, it is valid for use in a threshold definition.', 'If the appender is valid, it is valid in a threshold definition.', 'If the appender is valid, then it is valid for use in a threshold definition.']"
20,liquibase,liquibase/integration/commandline/Main.java,/liquibase-core/src/main/java/liquibase/integration/commandline/Main.java,parseDefaultPropertyFileFromFile,799-812,"/**
     * Open a regular property file (not embedded in a resource - use {@link #parseDefaultPropertyFileFromResource}
     * for that) and parse it.
     *
     * @param potentialPropertyFile path and file name to the the property file
     * @throws IOException                 if the file cannot be opened
     * @throws CommandLineParsingException if an error occurs during parsing
     */
private void parseDefaultPropertyFileFromFile(File potentialPropertyFile) throws IOException, CommandLineParsingException{
    try (FileInputStream stream = new FileInputStream(potentialPropertyFile)) {
        parsePropertiesFile(stream);
    }
}","private void parseDefaultPropertyFileFromFile(File potentialPropertyFile) throws IOException, CommandLineParsingException{
    try (FileInputStream stream = new FileInputStream(potentialPropertyFile)) {
        parsePropertiesFile(stream);
    }
}","/**
     * Open a regular property file (not embedded in a resource - use {@link #parseDefaultPropertyFileFromResource}
     * for that) and parse it.
     *
     * @param potentialPropertyFile path and file name to the the property file
     * @throws IOException                 if the file cannot be opened
     * @throws CommandLineParsingException if an error occurs during parsing
     */","('parseDefaultPropertyFileFromFile', {'INSTRUCTION': {'covered': 9, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,  Open a regular property file (not embedded in a resource - use {@link #parseDefaultPropertyFileFromResource}  for that) and parse it.,26.0,"['Parse a regular property file if it is not embedded in a resource.', 'You can open a regular property file and use the @link #parseDefaultPropertyFileFromResource for that.', 'You can open a regular property file and use the @link #parseDefaultPropertyFileFromResource to get it to be readable.']"
21,shardingsphere-elasticjob,org/apache/shardingsphere/elasticjob/cloud/console/controller/CloudJobController.java,/elasticjob-cloud/elasticjob-cloud-scheduler/src/main/java/org/apache/shardingsphere/elasticjob/cloud/console/controller/CloudJobController.java,isDisabled,142-151,"/**
     * Check whether the cloud job is disabled or not.
     *
     * @param jobName job name
     * @return true is disabled, otherwise not
     */
public boolean isDisabled(@Param(name = ""jobName"", source = ParamSource.PATH) final String jobName){
    return facadeService.isJobDisabled(jobName);
}","public boolean isDisabled(@Param(name = ""jobName"", source = ParamSource.PATH) final String jobName){
    return facadeService.isJobDisabled(jobName);
}","/**
     * Check whether the cloud job is disabled or not.
     *
     * @param jobName job name
     * @return true is disabled, otherwise not
     */","('isDisabled', {'INSTRUCTION': {'covered': 5, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,  Check whether the cloud job is disabled or not.,10.0,"['Check to see if the cloud job is disabled.', 'If the cloud job is disabled, check it out.', 'If the cloud job is disabled, you should check it.']"
22,openapi-generator,org/openapitools/codegen/utils/ModelUtils.java,/modules/openapi-generator/src/main/java/org/openapitools/codegen/utils/ModelUtils.java,isNullType,1481-1503,"/**
     * isNullType returns true if the input schema is the 'null' type.
     *
     * The 'null' type is supported in OAS 3.1 and above. It is not supported
     * in OAS 2.0 and OAS 3.0.x.
     *
     * For example, the ""null"" type could be used to specify that a value must
     * either be null or a specified type:
     *
     * OptionalOrder:
     *   oneOf:
     *     - type: 'null'
     *     - $ref: '#/components/schemas/Order'
     *
     * @param schema the OpenAPI schema
     * @return true if the schema is the 'null' type
     */
public static boolean isNullType(Schema schema){
    if (""null"".equals(schema.getType())) {
        return true;
    }
    return false;
}","public static boolean isNullType(Schema schema){
    if (""null"".equals(schema.getType())) {
        return true;
    }
    return false;
}","/**
     * isNullType returns true if the input schema is the 'null' type.
     *
     * The 'null' type is supported in OAS 3.1 and above. It is not supported
     * in OAS 2.0 and OAS 3.0.x.
     *
     * For example, the ""null"" type could be used to specify that a value must
     * either be null or a specified type:
     *
     * OptionalOrder:
     *   oneOf:
     *     - type: 'null'
     *     - $ref: '#/components/schemas/Order'
     *
     * @param schema the OpenAPI schema
     * @return true if the schema is the 'null' type
     */","('isNullType', {'INSTRUCTION': {'covered': 9, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,  isNullType returns true if the input schema is the 'null' type.,13.0,"['If the input is a null type, isNullType returns true.', 'If the input is a null type, isNullType will return true.', 'If the input is a null type, isNullType is true.']"
23,cdk,org/openscience/cdk/renderer/generators/BasicAtomGenerator.java,/display/renderbasic/src/main/java/org/openscience/cdk/renderer/generators/BasicAtomGenerator.java,invisibleCarbon,266-277,"/**
     * Checks an atom to see if it is an 'invisible carbon' - that is, it is:
     * a) a carbon atom and b) this carbon should not be shown.
     *
     * @param atom the atom to check
     * @param atomContainer the atom container the atom is part of
     * @param model the renderer model
     * @return true if this atom should not be shown
     */
protected boolean invisibleCarbon(IAtom atom, IAtomContainer atomContainer, RendererModel model){
    return isCarbon(atom) && !showCarbon(atom, atomContainer, model);
}","protected boolean invisibleCarbon(IAtom atom, IAtomContainer atomContainer, RendererModel model){
    return isCarbon(atom) && !showCarbon(atom, atomContainer, model);
}","/**
     * Checks an atom to see if it is an 'invisible carbon' - that is, it is:
     * a) a carbon atom and b) this carbon should not be shown.
     *
     * @param atom the atom to check
     * @param atomContainer the atom container the atom is part of
     * @param model the renderer model
     * @return true if this atom should not be shown
     */","('invisibleCarbon', {'INSTRUCTION': {'covered': 14, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",31.0,"  Checks an atom to see if it is an 'invisible carbon' - that is, it is:  a) a carbon atom and b) this carbon should not be shown.",34.0,"['If an atom is checked to see if it is an invisible carbon, it should not be shown.', ""If an atom is checked to see if it's an invisible carbon, it should not be shown."", 'If an atom is checked to see if it is an invisible carbon, it should be shown.']"
